player,team,league,season,position_group,position_full,minutes,archetype,archetype_name
Alfreð Finnbogason,Augsburg,Bundesliga,2018,FW,FW,1814.0,FW-0,Low involvement centre forwards
Caiuby,Augsburg,Bundesliga,2018,MF,"MF,FW",2855.0,MF-1,Advanced attacking midfielders
Daniel Baier,Augsburg,Bundesliga,2018,MF,MF,2538.0,MF-0,Deep ball winning midfielders
Daniel Opare,Augsburg,Bundesliga,2018,DF,DF,1417.0,DF-1,Wide attacking defenders
Jan Morávek,Augsburg,Bundesliga,2018,MF,MF,702.0,MF-0,Deep ball winning midfielders
Jeffrey Gouweleeuw,Augsburg,Bundesliga,2018,DF,DF,2385.0,DF-0,Deep central defenders
Jonathan Schmid,Augsburg,Bundesliga,2018,DF,"DF,MF",1473.0,DF-1,Wide attacking defenders
Kevin Danso,Augsburg,Bundesliga,2018,DF,DF,1105.0,DF-0,Deep central defenders
Koo Ja-cheol,Augsburg,Bundesliga,2018,MF,MF,2046.0,MF-0,Deep ball winning midfielders
Marcel Heller,Augsburg,Bundesliga,2018,MF,MF,1299.0,MF-1,Advanced attacking midfielders
Marco Richter,Augsburg,Bundesliga,2018,MF,"MF,FW",644.0,MF-1,Advanced attacking midfielders
Martin Hinteregger,Augsburg,Bundesliga,2018,DF,DF,2655.0,DF-0,Deep central defenders
Michael Gregoritsch,Augsburg,Bundesliga,2018,MF,"MF,FW",2527.0,MF-1,Advanced attacking midfielders
Philipp Max,Augsburg,Bundesliga,2018,DF,DF,2959.0,DF-1,Wide attacking defenders
Rani Khedira,Augsburg,Bundesliga,2018,MF,"MF,DF",2275.0,MF-0,Deep ball winning midfielders
Raphael Framberger,Augsburg,Bundesliga,2018,DF,DF,696.0,DF-1,Wide attacking defenders
Sergio Córdova,Augsburg,Bundesliga,2018,FW,"FW,MF",586.0,FW-0,Low involvement centre forwards
Arjen Robben,Bayern Munich,Bundesliga,2018,FW,"FW,MF",1507.0,FW-1,Creating and carrying forwards
Arturo Vidal,Bayern Munich,Bundesliga,2018,MF,MF,1456.0,MF-0,Deep ball winning midfielders
Corentin Tolisso,Bayern Munich,Bundesliga,2018,MF,MF,1575.0,MF-1,Advanced attacking midfielders
David Alaba,Bayern Munich,Bundesliga,2018,DF,DF,1551.0,DF-1,Wide attacking defenders
Franck Ribéry,Bayern Munich,Bundesliga,2018,FW,"FW,MF",1203.0,FW-1,Creating and carrying forwards
James Rodríguez,Bayern Munich,Bundesliga,2018,MF,MF,1621.0,MF-1,Advanced attacking midfielders
Javi Martínez,Bayern Munich,Bundesliga,2018,MF,"MF,DF",1609.0,MF-0,Deep ball winning midfielders
Joshua Kimmich,Bayern Munich,Bundesliga,2018,DF,DF,2329.0,DF-1,Wide attacking defenders
Juan Bernat,Bayern Munich,Bundesliga,2018,DF,"DF,FW",888.0,DF-1,Wide attacking defenders
Jérôme Boateng,Bayern Munich,Bundesliga,2018,DF,DF,1640.0,DF-0,Deep central defenders
Kingsley Coman,Bayern Munich,Bundesliga,2018,MF,"MF,FW",1153.0,MF-1,Advanced attacking midfielders
Mats Hummels,Bayern Munich,Bundesliga,2018,DF,DF,2213.0,DF-0,Deep central defenders
Niklas Süle,Bayern Munich,Bundesliga,2018,DF,DF,1926.0,DF-0,Deep central defenders
Rafinha,Bayern Munich,Bundesliga,2018,DF,DF,1851.0,DF-1,Wide attacking defenders
Robert Lewandowski,Bayern Munich,Bundesliga,2018,FW,FW,2172.0,FW-0,Low involvement centre forwards
Sandro Wagner,Bayern Munich,Bundesliga,2018,FW,FW,726.0,FW-0,Low involvement centre forwards
Sebastian Rudy,Bayern Munich,Bundesliga,2018,MF,MF,1515.0,MF-0,Deep ball winning midfielders
Thiago Alcántara,Bayern Munich,Bundesliga,2018,MF,"MF,FW",1247.0,MF-0,Deep ball winning midfielders
Thomas Müller,Bayern Munich,Bundesliga,2018,MF,"MF,FW",2005.0,MF-1,Advanced attacking midfielders
Andriy Yarmolenko,Dortmund,Bundesliga,2018,FW,"FW,MF",1039.0,FW-1,Creating and carrying forwards
André Schürrle,Dortmund,Bundesliga,2018,MF,"MF,FW",1236.0,MF-1,Advanced attacking midfielders
Christian Pulisic,Dortmund,Bundesliga,2018,FW,"FW,MF",2302.0,FW-1,Creating and carrying forwards
Dan-Axel Zagadou,Dortmund,Bundesliga,2018,DF,DF,657.0,DF-1,Wide attacking defenders
Gonzalo Castro,Dortmund,Bundesliga,2018,MF,MF,1206.0,MF-1,Advanced attacking midfielders
Jadon Sancho,Dortmund,Bundesliga,2018,FW,FW,690.0,FW-1,Creating and carrying forwards
Jeremy Toljan,Dortmund,Bundesliga,2018,DF,DF,1211.0,DF-1,Wide attacking defenders
Julian Weigl,Dortmund,Bundesliga,2018,MF,MF,1944.0,MF-0,Deep ball winning midfielders
Mahmoud Dahoud,Dortmund,Bundesliga,2018,MF,MF,1146.0,MF-1,Advanced attacking midfielders
Manuel Akanji,Dortmund,Bundesliga,2018,DF,DF,904.0,DF-0,Deep central defenders
Marc Bartra,Dortmund,Bundesliga,2018,DF,DF,807.0,DF-1,Wide attacking defenders
Marcel Schmelzer,Dortmund,Bundesliga,2018,DF,DF,1491.0,DF-1,Wide attacking defenders
Marco Reus,Dortmund,Bundesliga,2018,MF,MF,928.0,MF-1,Advanced attacking midfielders
Mario Götze,Dortmund,Bundesliga,2018,MF,MF,1601.0,MF-1,Advanced attacking midfielders
Maximilian Philipp,Dortmund,Bundesliga,2018,FW,"FW,MF",1203.0,FW-0,Low involvement centre forwards
Michy Batshuayi,Dortmund,Bundesliga,2018,FW,FW,839.0,FW-0,Low involvement centre forwards
Nuri Şahin,Dortmund,Bundesliga,2018,MF,MF,1225.0,MF-0,Deep ball winning midfielders
Pierre-Emerick Aubameyang,Dortmund,Bundesliga,2018,FW,FW,1416.0,FW-0,Low involvement centre forwards
Raphaël Guerreiro,Dortmund,Bundesliga,2018,DF,"DF,MF",547.0,DF-1,Wide attacking defenders
Shinji Kagawa,Dortmund,Bundesliga,2018,MF,MF,1166.0,MF-1,Advanced attacking midfielders
Sokratis Papastathopoulos,Dortmund,Bundesliga,2018,DF,DF,2373.0,DF-0,Deep central defenders
Ömer Toprak,Dortmund,Bundesliga,2018,DF,DF,2020.0,DF-0,Deep central defenders
Łukasz Piszczek,Dortmund,Bundesliga,2018,DF,DF,2138.0,DF-1,Wide attacking defenders
Ante Rebić,Eint Frankfurt,Bundesliga,2018,FW,"FW,MF",1751.0,FW-1,Creating and carrying forwards
Carlos Salcedo,Eint Frankfurt,Bundesliga,2018,DF,DF,1607.0,DF-0,Deep central defenders
Danny da Costa,Eint Frankfurt,Bundesliga,2018,DF,"DF,FW",1202.0,DF-1,Wide attacking defenders
David Abraham,Eint Frankfurt,Bundesliga,2018,DF,DF,2302.0,DF-0,Deep central defenders
Gelson Fernandes,Eint Frankfurt,Bundesliga,2018,MF,MF,1036.0,MF-0,Deep ball winning midfielders
Jetro Willems,Eint Frankfurt,Bundesliga,2018,FW,"FW,DF",1664.0,FW-1,Creating and carrying forwards
Jonathan de Guzmán,Eint Frankfurt,Bundesliga,2018,MF,MF,1092.0,MF-0,Deep ball winning midfielders
Kevin-Prince Boateng,Eint Frankfurt,Bundesliga,2018,MF,"MF,FW",2357.0,MF-0,Deep ball winning midfielders
Luka Jović,Eint Frankfurt,Bundesliga,2018,FW,FW,936.0,FW-0,Low involvement centre forwards
Makoto Hasebe,Eint Frankfurt,Bundesliga,2018,DF,"DF,MF",2090.0,DF-0,Deep central defenders
Marco Russ,Eint Frankfurt,Bundesliga,2018,DF,DF,1145.0,DF-0,Deep central defenders
Marius Wolf,Eint Frankfurt,Bundesliga,2018,MF,"MF,FW",2363.0,MF-1,Advanced attacking midfielders
Mijat Gaćinović,Eint Frankfurt,Bundesliga,2018,MF,MF,1815.0,MF-1,Advanced attacking midfielders
Omar Mascarell,Eint Frankfurt,Bundesliga,2018,MF,MF,771.0,MF-0,Deep ball winning midfielders
Simon Falette,Eint Frankfurt,Bundesliga,2018,DF,DF,2211.0,DF-0,Deep central defenders
Sébastien Haller,Eint Frankfurt,Bundesliga,2018,FW,FW,2347.0,FW-0,Low involvement centre forwards
Timothy Chandler,Eint Frankfurt,Bundesliga,2018,DF,"DF,FW",1892.0,DF-1,Wide attacking defenders
Amir Abrashi,Freiburg,Bundesliga,2018,MF,MF,850.0,MF-0,Deep ball winning midfielders
Christian Günter,Freiburg,Bundesliga,2018,DF,"DF,MF",3060.0,DF-1,Wide attacking defenders
Florian Kath,Freiburg,Bundesliga,2018,FW,"FW,MF",674.0,FW-1,Creating and carrying forwards
Florian Niederlechner,Freiburg,Bundesliga,2018,FW,"FW,MF",697.0,FW-0,Low involvement centre forwards
Janik Haberer,Freiburg,Bundesliga,2018,MF,"MF,FW",2748.0,MF-0,Deep ball winning midfielders
Julian Schuster,Freiburg,Bundesliga,2018,DF,"DF,MF",1308.0,DF-0,Deep central defenders
Lucas Höler,Freiburg,Bundesliga,2018,FW,"FW,MF",906.0,FW-0,Low involvement centre forwards
Lukas Kübler,Freiburg,Bundesliga,2018,DF,"DF,MF",1151.0,DF-0,Deep central defenders
Manuel Gulde,Freiburg,Bundesliga,2018,DF,DF,1530.0,DF-0,Deep central defenders
Marc-Oliver Kempf,Freiburg,Bundesliga,2018,DF,DF,901.0,DF-0,Deep central defenders
Marco Terrazzino,Freiburg,Bundesliga,2018,MF,"MF,FW",1489.0,MF-1,Advanced attacking midfielders
Mike Frantz,Freiburg,Bundesliga,2018,MF,MF,1041.0,MF-0,Deep ball winning midfielders
Nicolas Höfler,Freiburg,Bundesliga,2018,MF,MF,2259.0,MF-0,Deep ball winning midfielders
Nils Petersen,Freiburg,Bundesliga,2018,FW,FW,2244.0,FW-0,Low involvement centre forwards
Pascal Stenzel,Freiburg,Bundesliga,2018,MF,"MF,DF",1941.0,MF-0,Deep ball winning midfielders
Philipp Lienhart,Freiburg,Bundesliga,2018,DF,DF,865.0,DF-0,Deep central defenders
Robin Koch,Freiburg,Bundesliga,2018,MF,"MF,DF",1919.0,MF-0,Deep ball winning midfielders
Tim Kleindienst,Freiburg,Bundesliga,2018,FW,"FW,DF",1138.0,FW-0,Low involvement centre forwards
Yoric Ravet,Freiburg,Bundesliga,2018,FW,"FW,MF",498.0,FW-1,Creating and carrying forwards
Çağlar Söyüncü,Freiburg,Bundesliga,2018,DF,DF,2153.0,DF-0,Deep central defenders
Aaron Hunt,Hamburger SV,Bundesliga,2018,MF,"MF,FW",2081.0,MF-1,Advanced attacking midfielders
Albin Ekdal,Hamburger SV,Bundesliga,2018,MF,MF,1108.0,MF-0,Deep ball winning midfielders
André Hahn,Hamburger SV,Bundesliga,2018,FW,"FW,MF",1358.0,FW-0,Low involvement centre forwards
Bobby Wood,Hamburger SV,Bundesliga,2018,FW,"FW,MF",1609.0,FW-0,Low involvement centre forwards
Dennis Diekmeier,Hamburger SV,Bundesliga,2018,DF,DF,1868.0,DF-1,Wide attacking defenders
Douglas Santos,Hamburger SV,Bundesliga,2018,DF,DF,2378.0,DF-1,Wide attacking defenders
Filip Kostić,Hamburger SV,Bundesliga,2018,MF,"MF,FW",2438.0,MF-1,Advanced attacking midfielders
Gideon Jung,Hamburger SV,Bundesliga,2018,MF,"MF,DF",2570.0,MF-0,Deep ball winning midfielders
Gōtoku Sakai,Hamburger SV,Bundesliga,2018,DF,"DF,MF",2289.0,DF-1,Wide attacking defenders
Jann-Fiete Arp,Hamburger SV,Bundesliga,2018,FW,"FW,MF",850.0,FW-0,Low involvement centre forwards
Kyriakos Papadopoulos,Hamburger SV,Bundesliga,2018,DF,DF,2610.0,DF-0,Deep central defenders
Lewis Holtby,Hamburger SV,Bundesliga,2018,MF,"MF,FW",1196.0,MF-1,Advanced attacking midfielders
Luca Waldschmidt,Hamburger SV,Bundesliga,2018,MF,"MF,FW",794.0,MF-1,Advanced attacking midfielders
Mërgim Mavraj,Hamburger SV,Bundesliga,2018,DF,DF,1445.0,DF-0,Deep central defenders
Rick van Drongelen,Hamburger SV,Bundesliga,2018,DF,DF,1440.0,DF-0,Deep central defenders
Tatsuya Ito,Hamburger SV,Bundesliga,2018,MF,"MF,FW",1012.0,MF-1,Advanced attacking midfielders
Ville Matti Steinmann,Hamburger SV,Bundesliga,2018,MF,MF,595.0,MF-0,Deep ball winning midfielders
Walace,Hamburger SV,Bundesliga,2018,MF,MF,1318.0,MF-0,Deep ball winning midfielders
Felipe,Hannover 96,Bundesliga,2018,DF,DF,457.0,DF-0,Deep central defenders
Felix Klaus,Hannover 96,Bundesliga,2018,MF,"MF,FW",1981.0,MF-1,Advanced attacking midfielders
Ihlas Bebou,Hannover 96,Bundesliga,2018,MF,"MF,FW",2140.0,MF-1,Advanced attacking midfielders
Iver Fossum,Hannover 96,Bundesliga,2018,MF,MF,1306.0,MF-0,Deep ball winning midfielders
Jonathas,Hannover 96,Bundesliga,2018,FW,FW,634.0,FW-0,Low involvement centre forwards
Josip Elez,Hannover 96,Bundesliga,2018,DF,DF,774.0,DF-0,Deep central defenders
Julian Korb,Hannover 96,Bundesliga,2018,DF,"DF,MF",2336.0,DF-1,Wide attacking defenders
Kenan Karaman,Hannover 96,Bundesliga,2018,MF,"MF,FW",855.0,MF-1,Advanced attacking midfielders
Martin Harnik,Hannover 96,Bundesliga,2018,FW,"FW,MF",1888.0,FW-0,Low involvement centre forwards
Marvin Bakalorz,Hannover 96,Bundesliga,2018,MF,MF,2055.0,MF-0,Deep ball winning midfielders
Matthias Ostrzolek,Hannover 96,Bundesliga,2018,DF,"DF,MF",2379.0,DF-1,Wide attacking defenders
Miiko Albornoz,Hannover 96,Bundesliga,2018,DF,"DF,MF",703.0,DF-1,Wide attacking defenders
Niclas Füllkrug,Hannover 96,Bundesliga,2018,FW,FW,2387.0,FW-0,Low involvement centre forwards
Oliver Sorg,Hannover 96,Bundesliga,2018,DF,"DF,MF",1687.0,DF-0,Deep central defenders
Pirmin Schwegler,Hannover 96,Bundesliga,2018,MF,MF,2319.0,MF-0,Deep ball winning midfielders
Salif Sané,Hannover 96,Bundesliga,2018,DF,DF,2879.0,DF-0,Deep central defenders
Timo Hübers,Hannover 96,Bundesliga,2018,DF,DF,450.0,DF-0,Deep central defenders
Waldemar Anton,Hannover 96,Bundesliga,2018,DF,"DF,MF",2278.0,DF-0,Deep central defenders
Alexander Esswein,Hertha BSC,Bundesliga,2018,MF,"MF,FW",617.0,MF-1,Advanced attacking midfielders
Arne Maier,Hertha BSC,Bundesliga,2018,MF,MF,1223.0,MF-0,Deep ball winning midfielders
Davie Selke,Hertha BSC,Bundesliga,2018,FW,FW,1886.0,FW-0,Low involvement centre forwards
Fabian Lustenberger,Hertha BSC,Bundesliga,2018,MF,"MF,DF",1583.0,MF-0,Deep ball winning midfielders
Jordan Torunarigha,Hertha BSC,Bundesliga,2018,DF,DF,663.0,DF-0,Deep central defenders
Karim Rekik,Hertha BSC,Bundesliga,2018,DF,DF,2302.0,DF-0,Deep central defenders
Marvin Plattenhardt,Hertha BSC,Bundesliga,2018,DF,DF,2970.0,DF-1,Wide attacking defenders
Mathew Leckie,Hertha BSC,Bundesliga,2018,MF,MF,1853.0,MF-1,Advanced attacking midfielders
Mitchell Weiser,Hertha BSC,Bundesliga,2018,DF,"DF,MF",1979.0,DF-1,Wide attacking defenders
Niklas Stark,Hertha BSC,Bundesliga,2018,DF,"DF,MF",2210.0,DF-0,Deep central defenders
Ondrej Duda,Hertha BSC,Bundesliga,2018,MF,MF,744.0,MF-0,Deep ball winning midfielders
Per Ciljan Skjelbred,Hertha BSC,Bundesliga,2018,MF,MF,2183.0,MF-0,Deep ball winning midfielders
Peter Pekarík,Hertha BSC,Bundesliga,2018,DF,DF,1375.0,DF-1,Wide attacking defenders
Salomon Kalou,Hertha BSC,Bundesliga,2018,MF,MF,2207.0,MF-1,Advanced attacking midfielders
Sebastian Langkamp,Hertha BSC,Bundesliga,2018,DF,DF,955.0,DF-0,Deep central defenders
Valentino Lazaro,Hertha BSC,Bundesliga,2018,MF,MF,1864.0,MF-1,Advanced attacking midfielders
Vedad Ibišević,Hertha BSC,Bundesliga,2018,FW,FW,1452.0,FW-0,Low involvement centre forwards
Vladimír Darida,Hertha BSC,Bundesliga,2018,MF,MF,1635.0,MF-0,Deep ball winning midfielders
Andrej Kramarić,Hoffenheim,Bundesliga,2018,FW,"FW,MF",2228.0,FW-1,Creating and carrying forwards
Benjamin Hübner,Hoffenheim,Bundesliga,2018,DF,DF,2315.0,DF-0,Deep central defenders
Dennis Geiger,Hoffenheim,Bundesliga,2018,MF,MF,1588.0,MF-0,Deep ball winning midfielders
Ermin Bičakčić,Hoffenheim,Bundesliga,2018,DF,DF,548.0,DF-0,Deep central defenders
Florian Grillitsch,Hoffenheim,Bundesliga,2018,MF,MF,1888.0,MF-0,Deep ball winning midfielders
Håvard Nordtveit,Hoffenheim,Bundesliga,2018,DF,DF,969.0,DF-0,Deep central defenders
Kerem Demirbay,Hoffenheim,Bundesliga,2018,MF,MF,1211.0,MF-1,Advanced attacking midfielders
Kevin Akpoguma,Hoffenheim,Bundesliga,2018,DF,DF,1690.0,DF-0,Deep central defenders
Kevin Vogt,Hoffenheim,Bundesliga,2018,DF,DF,2790.0,DF-0,Deep central defenders
Lukas Rupp,Hoffenheim,Bundesliga,2018,MF,"MF,FW",1160.0,MF-1,Advanced attacking midfielders
Mark Uth,Hoffenheim,Bundesliga,2018,FW,FW,2177.0,FW-0,Low involvement centre forwards
Nadiem Amiri,Hoffenheim,Bundesliga,2018,MF,MF,1744.0,MF-1,Advanced attacking midfielders
Nico Schulz,Hoffenheim,Bundesliga,2018,FW,"FW,MF",1780.0,FW-1,Creating and carrying forwards
Pavel Kadeřábek,Hoffenheim,Bundesliga,2018,FW,"FW,DF",2199.0,FW-1,Creating and carrying forwards
Sandro Wagner,Hoffenheim,Bundesliga,2018,FW,FW,870.0,FW-0,Low involvement centre forwards
Serge Gnabry,Hoffenheim,Bundesliga,2018,FW,FW,1507.0,FW-1,Creating and carrying forwards
Stefan Posch,Hoffenheim,Bundesliga,2018,DF,DF,756.0,DF-0,Deep central defenders
Steven Zuber,Hoffenheim,Bundesliga,2018,FW,"FW,DF",1431.0,FW-1,Creating and carrying forwards
Ádám Szalai,Hoffenheim,Bundesliga,2018,FW,FW,896.0,FW-0,Low involvement centre forwards
Christian Clemens,Köln,Bundesliga,2018,MF,"MF,FW",646.0,MF-1,Advanced attacking midfielders
Claudio Pizarro,Köln,Bundesliga,2018,FW,"FW,MF",579.0,FW-1,Creating and carrying forwards
Dominic Maroh,Köln,Bundesliga,2018,DF,DF,914.0,DF-0,Deep central defenders
Dominique Heintz,Köln,Bundesliga,2018,DF,DF,2790.0,DF-0,Deep central defenders
Frederik Sørensen,Köln,Bundesliga,2018,DF,DF,2001.0,DF-0,Deep central defenders
Jannes Horn,Köln,Bundesliga,2018,DF,DF,825.0,DF-1,Wide attacking defenders
Jhon Córdoba,Köln,Bundesliga,2018,FW,FW,957.0,FW-0,Low involvement centre forwards
Jonas Hector,Köln,Bundesliga,2018,DF,"DF,MF",1759.0,DF-1,Wide attacking defenders
Jorge Meré,Köln,Bundesliga,2018,DF,DF,1890.0,DF-0,Deep central defenders
Konstantin Rausch,Köln,Bundesliga,2018,DF,DF,925.0,DF-1,Wide attacking defenders
Leonardo Bittencourt,Köln,Bundesliga,2018,MF,MF,1613.0,MF-1,Advanced attacking midfielders
Lukas Klünter,Köln,Bundesliga,2018,DF,"DF,FW",1336.0,DF-1,Wide attacking defenders
Marcel Risse,Köln,Bundesliga,2018,DF,"DF,MF",1169.0,DF-1,Wide attacking defenders
Marco Höger,Köln,Bundesliga,2018,MF,MF,1674.0,MF-0,Deep ball winning midfielders
Matthias Lehmann,Köln,Bundesliga,2018,MF,MF,1515.0,MF-0,Deep ball winning midfielders
Miloš Jojić,Köln,Bundesliga,2018,MF,MF,1459.0,MF-1,Advanced attacking midfielders
Paweł Olkowski,Köln,Bundesliga,2018,DF,DF,450.0,DF-1,Wide attacking defenders
Salih Özcan,Köln,Bundesliga,2018,MF,MF,1670.0,MF-0,Deep ball winning midfielders
Sehrou Guirassy,Köln,Bundesliga,2018,FW,FW,851.0,FW-0,Low involvement centre forwards
Simon Terodde,Köln,Bundesliga,2018,FW,FW,1160.0,FW-0,Low involvement centre forwards
Simon Zoller,Köln,Bundesliga,2018,MF,"MF,FW",963.0,MF-1,Advanced attacking midfielders
Vincent Koziello,Köln,Bundesliga,2018,MF,MF,789.0,MF-0,Deep ball winning midfielders
Yuya Osako,Köln,Bundesliga,2018,FW,"FW,MF",1896.0,FW-0,Low involvement centre forwards
Admir Mehmedi,Leverkusen,Bundesliga,2018,DF,"DF,MF",700.0,DF-1,Wide attacking defenders
Benjamin Henrichs,Leverkusen,Bundesliga,2018,DF,DF,1268.0,DF-1,Wide attacking defenders
Charles Aránguiz,Leverkusen,Bundesliga,2018,MF,MF,2302.0,MF-0,Deep ball winning midfielders
Dominik Kohr,Leverkusen,Bundesliga,2018,MF,MF,1664.0,MF-0,Deep ball winning midfielders
Jonathan Tah,Leverkusen,Bundesliga,2018,DF,DF,2427.0,DF-0,Deep central defenders
Julian Baumgartlinger,Leverkusen,Bundesliga,2018,MF,"MF,DF",1393.0,MF-0,Deep ball winning midfielders
Julian Brandt,Leverkusen,Bundesliga,2018,MF,"MF,FW",2326.0,MF-1,Advanced attacking midfielders
Kai Havertz,Leverkusen,Bundesliga,2018,MF,"MF,FW",2144.0,MF-1,Advanced attacking midfielders
Karim Bellarabi,Leverkusen,Bundesliga,2018,MF,MF,1146.0,MF-1,Advanced attacking midfielders
Kevin Volland,Leverkusen,Bundesliga,2018,FW,"FW,MF",2591.0,FW-0,Low involvement centre forwards
Lars Bender,Leverkusen,Bundesliga,2018,DF,"DF,MF",1595.0,DF-1,Wide attacking defenders
Leon Bailey,Leverkusen,Bundesliga,2018,MF,"MF,DF",2215.0,MF-1,Advanced attacking midfielders
Lucas Alario,Leverkusen,Bundesliga,2018,FW,FW,1550.0,FW-0,Low involvement centre forwards
Panagiotis Retsos,Leverkusen,Bundesliga,2018,DF,DF,1716.0,DF-1,Wide attacking defenders
Sven Bender,Leverkusen,Bundesliga,2018,DF,DF,2345.0,DF-0,Deep central defenders
Tin Jedvaj,Leverkusen,Bundesliga,2018,DF,DF,599.0,DF-1,Wide attacking defenders
Wendell,Leverkusen,Bundesliga,2018,DF,DF,2115.0,DF-1,Wide attacking defenders
Christoph Kramer,M'Gladbach,Bundesliga,2018,MF,MF,2151.0,MF-0,Deep ball winning midfielders
Denis Zakaria,M'Gladbach,Bundesliga,2018,MF,MF,2296.0,MF-0,Deep ball winning midfielders
Fabian Johnson,M'Gladbach,Bundesliga,2018,MF,"MF,DF",465.0,MF-1,Advanced attacking midfielders
Jannik Vestergaard,M'Gladbach,Bundesliga,2018,DF,DF,2880.0,DF-0,Deep central defenders
Jonas Hofmann,M'Gladbach,Bundesliga,2018,MF,MF,1033.0,MF-1,Advanced attacking midfielders
Josip Drmić,M'Gladbach,Bundesliga,2018,FW,"FW,MF",467.0,FW-0,Low involvement centre forwards
Lars Stindl,M'Gladbach,Bundesliga,2018,FW,"FW,MF",2727.0,FW-1,Creating and carrying forwards
Matthias Ginter,M'Gladbach,Bundesliga,2018,DF,DF,3060.0,DF-0,Deep central defenders
Mickaël Cuisance,M'Gladbach,Bundesliga,2018,MF,"MF,FW",1207.0,MF-1,Advanced attacking midfielders
Nico Elvedi,M'Gladbach,Bundesliga,2018,DF,DF,2914.0,DF-1,Wide attacking defenders
Oscar Wendt,M'Gladbach,Bundesliga,2018,DF,DF,2457.0,DF-1,Wide attacking defenders
Patrick Herrmann,M'Gladbach,Bundesliga,2018,MF,"MF,FW",1124.0,MF-1,Advanced attacking midfielders
Raffael,M'Gladbach,Bundesliga,2018,FW,FW,2071.0,FW-1,Creating and carrying forwards
Reece Oxford,M'Gladbach,Bundesliga,2018,DF,"DF,MF",463.0,DF-0,Deep central defenders
Thorgan Hazard,M'Gladbach,Bundesliga,2018,MF,"MF,FW",2939.0,MF-1,Advanced attacking midfielders
Tony Jantschke,M'Gladbach,Bundesliga,2018,DF,DF,727.0,DF-1,Wide attacking defenders
Vincenzo Grifo,M'Gladbach,Bundesliga,2018,MF,MF,786.0,MF-1,Advanced attacking midfielders
Abdou Diallo,Mainz 05,Bundesliga,2018,DF,DF,2415.0,DF-0,Deep central defenders
Alexander Hack,Mainz 05,Bundesliga,2018,DF,DF,1287.0,DF-0,Deep central defenders
Alexandru Maxim,Mainz 05,Bundesliga,2018,MF,MF,957.0,MF-1,Advanced attacking midfielders
Daniel Brosinski,Mainz 05,Bundesliga,2018,DF,"DF,FW",2500.0,DF-1,Wide attacking defenders
Danny Latza,Mainz 05,Bundesliga,2018,MF,MF,2352.0,MF-0,Deep ball winning midfielders
Emil Berggreen,Mainz 05,Bundesliga,2018,FW,FW,669.0,FW-0,Low involvement centre forwards
Fabian Frei,Mainz 05,Bundesliga,2018,MF,MF,802.0,MF-0,Deep ball winning midfielders
Gerrit Holtmann,Mainz 05,Bundesliga,2018,FW,"FW,MF",901.0,FW-1,Creating and carrying forwards
Giulio Donati,Mainz 05,Bundesliga,2018,DF,"DF,FW",2284.0,DF-1,Wide attacking defenders
Jean-Philippe Gbamin,Mainz 05,Bundesliga,2018,MF,"MF,DF",2591.0,MF-0,Deep ball winning midfielders
Leon Balogun,Mainz 05,Bundesliga,2018,DF,DF,1173.0,DF-0,Deep central defenders
Levin Öztunalı,Mainz 05,Bundesliga,2018,FW,"FW,MF",1741.0,FW-0,Low involvement centre forwards
Nigel de Jong,Mainz 05,Bundesliga,2018,MF,MF,737.0,MF-0,Deep ball winning midfielders
Pablo de Blasis,Mainz 05,Bundesliga,2018,FW,"FW,MF",1652.0,FW-1,Creating and carrying forwards
Robin Quaison,Mainz 05,Bundesliga,2018,FW,"FW,MF",1409.0,FW-0,Low involvement centre forwards
Stefan Bell,Mainz 05,Bundesliga,2018,DF,DF,2177.0,DF-0,Deep central defenders
Suat Serdar,Mainz 05,Bundesliga,2018,MF,MF,1703.0,MF-0,Deep ball winning midfielders
Yoshinori Mutō,Mainz 05,Bundesliga,2018,FW,FW,1904.0,FW-0,Low involvement centre forwards
Ademola Lookman,RB Leipzig,Bundesliga,2018,MF,"MF,FW",574.0,MF-1,Advanced attacking midfielders
Bernardo,RB Leipzig,Bundesliga,2018,DF,DF,1350.0,DF-1,Wide attacking defenders
Bruma,RB Leipzig,Bundesliga,2018,MF,"MF,FW",1611.0,MF-1,Advanced attacking midfielders
Dayot Upamecano,RB Leipzig,Bundesliga,2018,DF,DF,2268.0,DF-0,Deep central defenders
Diego Demme,RB Leipzig,Bundesliga,2018,MF,MF,2284.0,MF-0,Deep ball winning midfielders
Emil Forsberg,RB Leipzig,Bundesliga,2018,MF,MF,1370.0,MF-1,Advanced attacking midfielders
Ibrahima Konaté,RB Leipzig,Bundesliga,2018,DF,DF,1228.0,DF-0,Deep central defenders
Jean-Kévin Augustin,RB Leipzig,Bundesliga,2018,FW,FW,1266.0,FW-0,Low involvement centre forwards
Kevin Kampl,RB Leipzig,Bundesliga,2018,MF,MF,2019.0,MF-1,Advanced attacking midfielders
Konrad Laimer,RB Leipzig,Bundesliga,2018,DF,"DF,MF",1337.0,DF-1,Wide attacking defenders
Lukas Klostermann,RB Leipzig,Bundesliga,2018,DF,DF,2190.0,DF-1,Wide attacking defenders
Marcel Halstenberg,RB Leipzig,Bundesliga,2018,DF,DF,1178.0,DF-1,Wide attacking defenders
Marcel Sabitzer,RB Leipzig,Bundesliga,2018,MF,"MF,FW",1790.0,MF-1,Advanced attacking midfielders
Naby Keïta,RB Leipzig,Bundesliga,2018,MF,MF,1962.0,MF-1,Advanced attacking midfielders
